what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528596215
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440528599678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528647273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528694454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528714631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528714696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528715689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528784751
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440528786492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528818185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528880593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528893241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528893306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528894250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440528933149
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440529025487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1440529047043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440529049256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1440529050578
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440529058016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529059955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529063450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529063460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529064515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529067852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529067917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529068858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529443145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529447502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529450205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529462334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529468035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529471275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529478617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529485577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529497448
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440529526473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529532381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529544801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440529549904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440563474872
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440563564529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440563565799
