what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440864614582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440864623242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440864631238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440864641583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440864642913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440864658414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866045906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440866079208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866101367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866236034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440866248585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866256623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866258392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440866261624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440866264464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866280006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866284471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866286643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866291683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440866292593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866299684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866299800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1440866424152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440866425126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866453706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866503421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866508223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866510532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866513986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866515209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866516031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866538844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866539748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866542060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866589866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866590199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866813403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440866816460
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440866824490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866837860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866839353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866855350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866902319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866917390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440866917499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440866965724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440866975755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440867036870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440867047711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440867049129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440867063313
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1440867064577
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440867074737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440867088716
