what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1441697564379
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1441697564380
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1441697564380
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1441697564381
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1441697564381
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1441697564381
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1441697564382
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1441697564382
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1441697564428
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1441697564428
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1441697564576
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1441697564577
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1441697564821
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1441697564821
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1441697564841
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1441697564842
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1441697564842
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1441697564842
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1441697564842
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1441697564901
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1441697564902
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1441697564903
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1441697564903
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1441697564904
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1441697564904
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1441697564904
os,sysinfo,,,"win32",1441697564907
arch,sysinfo,,,"x86_64",1441697564907
ws,sysinfo,,,"win32",1441697564907
locale,sysinfo,,,"en_US",1441697564907
processors,sysinfo,,,"4",1441697564907
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1441697564907
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1441697564907
java.specification.name,sysinfo,,,"Java Platform API Specification",1441697564907
java.specification.vendor,sysinfo,,,"Oracle Corporation",1441697564907
java.specification.version,sysinfo,,,"1.7",1441697564907
java.vendor,sysinfo,,,"Oracle Corporation",1441697564907
java.version,sysinfo,,,"1.7.0_79",1441697564907
java.vm.info,sysinfo,,,"mixed mode",1441697564907
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1441697564907
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1441697564907
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1441697564907
java.vm.specification.version,sysinfo,,,"1.7",1441697564907
java.vm.vendor,sysinfo,,,"Oracle Corporation",1441697564907
java.vm.version,sysinfo,,,"24.79-b02",1441697564907
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1441697565078
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1441697565078
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1441697566092
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1441697566239
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1441697566425
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1441697566647
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1441697566700
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1441697569699
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1441697570220
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1441697570314
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1441697570591
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441697575518
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441697575670
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1441697674534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441697674615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1441697707662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1441697711310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441697715405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699430809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1441699474427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699477471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699483952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699484164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699485308
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1441699485337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699490818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699496344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699502164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699526678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699541839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699549796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441699553277
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1441699555455
