what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440666523043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440666549877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440666568564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440666568713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440666569017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440666569073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440666569351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666578011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666592987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440666595331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440666620628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666677074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666677196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666679517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666679589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440666679695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666680888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666681319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440666733956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666737740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666744322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440666745446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666779847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666790004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440666791280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440666796385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666828906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440666872469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440666879088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440666883736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667005635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667016154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667028418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440667029488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667036110
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440667098681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667109101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667126499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667130980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667147360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440667150586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440667226890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440667226997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667240534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667247460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667248178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667253845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440667310792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1440667313365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440667317081
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440667326483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667345608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667360671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667369164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667391472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667412755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1440667445379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440667446964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440667448210
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440667655702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667693664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667698146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667777874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667789007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667796381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440667808703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667840260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667878015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667916079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440667919783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440667926129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440667929719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667940982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667941141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667943913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440667954113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440667958454
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1440667959760
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440667975169
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1440667985157
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440667985522
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440667991612
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1440667997330
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440668004617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668041253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668046007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668049330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668056341
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440668073091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440668090844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440668096326
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440668102995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440668114887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440668117375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668118779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668119463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668152705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668253754
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440668255956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668314229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668317089
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440668321443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440668351342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668364266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668367529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668367688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668370215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668374235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668460452
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440668466930
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440668494033
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440668501412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440668523007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440668532509
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1440668542368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440668556137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440668563711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440668568353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668588759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668589659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668589672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668614385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1440668629004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668635803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668635995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668637162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668677949
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440668680497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668694578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668708791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440668710230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440668712734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440668717280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440668720464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668723858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668724002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668724008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668725693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668733705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668755298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440668767116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440668767208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440668785433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668793386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668816216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440668821101
