what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1440579049585
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage Aug26;\r\n\r\nimport java.io.File;\r\nimport java.util.List;\r\n\r\nimport org.apache.commons.io.FileUtils;\r\nimport org.openqa.selenium.By;\r\nimport org.openqa.selenium.OutputType;\r\nimport org.openqa.selenium.TakesScreenshot;\r\nimport org.openqa.selenium.WebElement;\r\nimport org.openqa.selenium.firefox.FirefoxDriver;\r\n\r\npublic class multiplescreenshots {\r\n\r\n\tpublic static void main(String[] args) {\r\n\t\tFirefoxDriver driver=new FirefoxDriver();\r\n\t\tdriver.get(""http://newtours.demoaut.com"");\r\n\t\tList <WebElement> links=driver.findElements(By.tagName(""a""));\r\n\t\tfor(int i=0;i<links.size();i++)\r\n\t\t{\r\n\t\t\tif(!links.get(i).getText().isEmpty());\r\n\t\t\t{\r\n\t\t\t\tString linkname=links.get(i).getText();\r\n\t\t\t\tlinks.get(i).click();\r\n\t\t\t\tFile srcFile=((TakesScreenshot)driver).getScreenshotAs(OutputType.FILE);\r\n\t\t\t    FileUtils.copyFile(srcFile,new File(""C:\\\\users\\\\Office\\\\desktop\\\\MltiScrnShot\\\\""(""+linkname+"".png)"");\r\n\t\t\t    driver.navigate().back();\r\n\t\t\t    links=driver.findElements(By.tagName(""a""));\r\n\t\t\t}\r\n\t\t}\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1440579060039
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1440579060040
error,log,,,"Error in JDT Core during AST creation",1440579060042
error,log,,,"Exception occurred during compilation unit conversion:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\npackage Aug26;\r\n\r\nimport java.io.File;\r\nimport java.util.List;\r\n\r\nimport org.apache.commons.io.FileUtils;\r\nimport org.openqa.selenium.By;\r\nimport org.openqa.selenium.OutputType;\r\nimport org.openqa.selenium.TakesScreenshot;\r\nimport org.openqa.selenium.WebElement;\r\nimport org.openqa.selenium.firefox.FirefoxDriver;\r\n\r\npublic class multiplescreenshots {\r\n\r\n\tpublic static void main(String[] args) {\r\n\t\tFirefoxDriver driver=new FirefoxDriver();\r\n\t\tdriver.get(""http://newtours.demoaut.com"");\r\n\t\tList <WebElement> links=driver.findElements(By.tagName(""a""));\r\n\t\tfor(int i=0;i<links.size();i++)\r\n\t\t{\r\n\t\t\tif(!links.get(i).getText().isEmpty());\r\n\t\t\t{\r\n\t\t\t\tString linkname=links.get(i).getText();\r\n\t\t\t\tlinks.get(i).click();\r\n\t\t\t\tFile srcFile=((TakesScreenshot)driver).getScreenshotAs(OutputType.FILE);\r\n\t\t\t    FileUtils.copyFile(srcFile,new File(""C:\\\\users\\\\Office\\\\desktop\\\\MltiScrnShot\\\\""(""+linkname+"".png)"");\r\n\t\t\t    driver.navigate().back();\r\n\t\t\t    links=driver.findElements(By.tagName(""a""));\r\n\t\t\t}\r\n\t\t}\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1440579060840
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1440579060842
error,log,,,"Error in JDT Core during AST creation",1440579060844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579062596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579069634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440579073069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440579080325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440579080430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440579083577
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1440579114377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440579115914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440579143235
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440579143378
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440579143499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579147018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579149402
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440579152879
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440579159421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579200321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579200439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579200516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579200890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579201013
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1440579206512
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440579208502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1440579215744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440579217962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440579218208
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440579219467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440579221569
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440579224890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579237179
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1440579239713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440579259310
