what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1444147191956
arch,sysinfo,,,"x86_64",1444147191956
ws,sysinfo,,,"win32",1444147191956
locale,sysinfo,,,"en_US",1444147191956
processors,sysinfo,,,"4",1444147191956
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1444147191956
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1444147191956
java.specification.name,sysinfo,,,"Java Platform API Specification",1444147191956
java.specification.vendor,sysinfo,,,"Oracle Corporation",1444147191956
java.specification.version,sysinfo,,,"1.7",1444147191956
java.vendor,sysinfo,,,"Oracle Corporation",1444147191956
java.version,sysinfo,,,"1.7.0_79",1444147191956
java.vm.info,sysinfo,,,"mixed mode",1444147191956
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1444147191956
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444147191956
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1444147191956
java.vm.specification.version,sysinfo,,,"1.7",1444147191956
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444147191956
java.vm.version,sysinfo,,,"24.79-b02",1444147191956
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1444147192299
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1444147192301
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1444147192876
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1444147192878
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1444147193403
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1444147194061
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1444147196187
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1444147196188
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1444147196327
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1444147196378
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1444147196719
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1444147196899
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1444147196978
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1444147197004
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1444147206961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1444147213472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147220863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147246599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1444147246624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1444147246624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147254133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147260017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147262176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147266974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1444147266986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147274622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147320509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147325050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147336625
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1444147341275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147343424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147373761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147376777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147381451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1444147384759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147387323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147392148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147395487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1444147399571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147402400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1444147402415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147404499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1444147405706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147424611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147425627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147432584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1444147435343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147439431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147446247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444147448839
