what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440566253697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440566253720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440566253987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440566254108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440566254180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440566254462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440566254876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566256966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566293117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440566301048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566315844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566321664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1440566323877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1440566362768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1440566385195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1440566406946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566408403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566419749
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1440566425751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566427952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566430938
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1440566432411
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1440566447755
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1440566452734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1440566458729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1440566465113
